# Log generated on 2025-05-24T15:35:29.708418
apidev.azure-api-center@1.1.2025052203.vsix: ^1.99.0 -> ^1.99.0
github.copilot-chat@0.28.2025052301.vsix: ^1.99.0 -> ^1.99.0
github.copilot-workspace@0.5.4.vsix: ^1.99.0 -> ^1.99.0
github.copilot@1.323.1582.vsix: ^1.99.0 -> ^1.99.0
github.vscode-pull-request-github@0.111.2025052204.vsix: ^1.99.0 -> ^1.99.0
ms-azure-load-testing.microsoft-testing@0.1.14.vsix: ^1.99.0 -> ^1.99.0
ms-azuretools.vscode-azure-github-copilot@1.0.8.vsix: ^1.99.0 -> ^1.99.0
ms-dotnettools.vscode-dotnet-runtime@2.3.4.vsix: ^1.99.0 -> ^1.99.0
ms-kubernetes-tools.vscode-kubernetes-tools@1.3.23.vsix: ^1.99.0 -> ^1.99.0
ms-vscode-remote.remote-wsl@0.99.0.vsix: ^1.99.0 -> ^1.99.0
vscjava.vscode-java-upgrade@0.14.0.vsix: ^1.99.0 -> ^1.99.0
